Region,Seed,Team,R1_Win%,R2_Win%,S16_Win%,E8_Win%,F4_Win%,Champ%,Blowout%,Hautlist,Avg_400K,Min_400K,Max_400K,Avg_450K,Min_450K,Max_450K,Avg_500K,Min_500K,Max_500K,Avg_550K,Min_550K,Max_550K,Avg_600K,Min_600K,Max_600K,Avg_650K,Min_650K,Max_650K,Avg_700K,Min_700K,Max_700K,Avg_750K,Min_750K,Max_750K,Avg_800K,Min_800K,Max_800K,KenPom_600K,Massey_600K,BPI_600K,538_600K
West,11,Texas,41.2,11.4,3.6,0.9,0.2,0.1,1.8,Y,2460,1763,3213,2768,1983,3615,3075,2203,4017,3382,2424,4418,3690,2644,4820,3997,2864,5222,4305,3085,5623,4612,3305,6025,4920,3525,6427,3651,4820,2644,4009
West,12,High Point,19.6,3.8,0.4,0.1,0.0,0.0,2.5,,927,793,1078,1043,892,1213,1159,991,1348,1275,1090,1482,1391,1189,1617,1507,1288,1752,1623,1387,1887,1739,1486,2021,1855,1585,2156,1189,1471,1617,1248
West,13-16,"High Point, Hawaii",17.4,2.4,0.2,0.0,0.0,0.0,11.9,,1137,968,1484,1279,1089,1670,1421,1210,1855,1563,1331,2040,1705,1452,2226,1847,1573,2412,1989,1694,2597,2131,1815,2782,2273,1936,2968,1671,2226,1595,1491
East,1,Duke,98.8,84.7,66.2,49.8,32.3,20.0,0.0,,34986,27501,39921,39359,30939,44911,43732,34377,49901,48106,37814,54891,52479,41252,59881,56852,44690,64871,61226,48127,69861,65599,51565,74851,69972,55003,79841,55156,41252,59881,50777
East,2,UCONN,94.7,68.3,37.9,14.2,6.0,2.4,0.2,,14482,13646,15617,16292,15352,17570,18102,17058,19522,19913,18763,21474,21723,20469,23426,23533,22175,25378,25344,23880,27330,27154,25586,29282,28964,27292,31235,20469,21579,23426,20951
East,3,Michigan St,92.0,57.9,30.8,10.9,4.4,1.7,0.2,,12050,11406,12754,13556,12832,14348,15062,14258,15942,16569,15683,17537,18075,17109,19131,19581,18535,20725,21088,19960,22320,22594,21386,23914,24100,22812,25508,18827,19131,17837,17109
East,4,Kansas,88.2,48.4,12.6,5.8,2.1,0.7,0.4,,7987,7220,9259,8986,8122,10417,9984,9025,11574,10983,9928,12732,11981,10830,13889,12979,11732,15046,13978,12635,16204,14976,13538,17361,15975,14440,18519,11095,13889,12451,10830
East,5,St. John's,82.3,45.3,14.1,7.4,3.0,1.1,0.6,,8386,6671,9821,9434,7505,11048,10482,8339,12276,11531,9173,13503,12579,10007,14731,13627,10841,15959,14676,11675,17186,15724,12509,18414,16772,13343,19641,11606,14181,10007,14731
East,6,Louisville,74.0,34.0,17.2,5.6,2.2,0.8,0.8,,7312,6667,7783,8226,7501,8756,9140,8334,9729,10054,9168,10702,10968,10001,11675,11882,10834,12648,12796,11668,13621,13710,12501,14594,14624,13335,15567,10454,10001,11675,11249
East,7,UCLA,68.5,23.9,10.0,2.7,0.8,0.3,1.0,Y,5009,4136,6187,5636,4653,6961,6262,5170,7734,6888,5687,8508,7514,6204,9281,8140,6721,10054,8766,7238,10828,9392,7755,11601,10019,8272,12375,7209,9281,6204,7850
East,8,Ohio St.,62.8,10.8,4.9,2.1,0.7,0.2,1.2,,3540,2815,4311,3982,3166,4850,4425,3518,5388,4868,3870,5927,5310,4222,6466,5752,4574,7005,6195,4926,7544,6638,5278,8082,7080,5629,8621,4953,6466,4222,5863
